date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:43	4177/4177	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/index.html	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/index.html	(from )
22:48:44	853/853	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/robots.txt		(from )
22:48:45	11448/11448	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Apr%202023%2017:18:46%20GMT	https://kit.fontawesome.com/35c398e458.js	C:/My%20Web%20Sites/JS%20Final%20Project/kit.fontawesome.com/35c398e458.js	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:46	2957/2957	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/base.css	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/base.css	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:46	1586/1586	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/index.css	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/index.css	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:46	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/JS%20Final%20Project/code.jquery.com/jquery-3.4.1.min.js	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2017:18:48%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/JS%20Final%20Project/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.5.delayed	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:47	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/JS%20Final%20Project/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:47	3735/3735	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/checkout.html	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/checkout.html	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2017:18:50%20GMT	https://imgur.com/96OnkX7.png	C:/My%20Web%20Sites/JS%20Final%20Project/imgur.com/96OnkX7.9.delayed	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:51	661352/661352	---M-Z	200	added ('OK')	image/jpeg	date:Tue,%2026%20Nov%202019%2018:19:10%20GMT	https://test-hosting-8f9bf.web.app/assets/avatar.jpg	C:/My%20Web%20Sites/JS%20Final%20Project/test-hosting-8f9bf.web.app/assets/avatar.jpg	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2017:18:53%20GMT	https://imgur.com/KtGxwnN.png	C:/My%20Web%20Sites/JS%20Final%20Project/imgur.com/KtGxwnN.b.delayed	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Apr%202023%2017:18:55%20GMT	https://imgur.com/sfjg9R8.png	C:/My%20Web%20Sites/JS%20Final%20Project/imgur.com/sfjg9R8.d.delayed	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:54	675835/675835	---M--	200	added ('OK')	image/png	etag:%2201b2cf2f4c6a0060088d7e9fd8f07e87%22	https://i.imgur.com/96OnkX7.png	C:/My%20Web%20Sites/JS%20Final%20Project/i.imgur.com/96OnkX7.png	(from https://test-hosting-8f9bf.web.app/index.html)
22:48:54	424728/424728	---M--	200	added ('OK')	image/png	etag:%22a8ce77d6d12094a65d8a046b38bef883%22	https://i.imgur.com/KtGxwnN.png	C:/My%20Web%20Sites/JS%20Final%20Project/i.imgur.com/KtGxwnN.png	(from https://test-hosting-8f9bf.web.app/index.html)
